Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1528689600.0,2018-06-11 04-AM,BTCUSD,6802.34,6806.87,6780.06,6806.54,145.63,989287.33
1528686000.0,2018-06-11 03-AM,BTCUSD,6801.12,6818.9,6783.71,6802.34,224.39,1526918.52
1528682400.0,2018-06-11 02-AM,BTCUSD,6788.59,6827.12,6784.78,6801.12,346.59,2359204.05
1528678800.0,2018-06-11 01-AM,BTCUSD,6763.49,6788.59,6747.64,6788.59,218.29,1476814.61
1528675200.0,2018-06-11 12-AM,BTCUSD,6806.12,6808.49,6759.18,6763.49,203.63,1380776.26
1528671600.0,2018-06-10 11-PM,BTCUSD,6735.74,6809.98,6735.74,6806.12,293.14,1985853.38
1528668000.0,2018-06-10 10-PM,BTCUSD,6798.76,6805.2,6732.03,6735.74,372.96,2521540.43
1528664400.0,2018-06-10 09-PM,BTCUSD,6783.02,6841.09,6757.26,6798.76,513.65,3490577.4
1528660800.0,2018-06-10 08-PM,BTCUSD,6875.83,6878.16,6772.14,6783.02,470.97,3208569.64
1528657200.0,2018-06-10 07-PM,BTCUSD,6819.39,6891.75,6796.91,6875.83,357.11,2442355.82
1528653600.0,2018-06-10 06-PM,BTCUSD,6836,6839.97,6777,6819.39,514.84,3500506.01
1528650000.0,2018-06-10 05-PM,BTCUSD,7236.23,7236.23,6836,6836,997.96,7041661.43
1528646400.0,2018-06-10 04-PM,BTCUSD,7249.19,7256.01,7224.58,7236.23,357.5,2587918.85
1528642800.0,2018-06-10 03-PM,BTCUSD,7270.52,7272.3,7233.07,7249.19,203.28,1473197.98
1528639200.0,2018-06-10 02-PM,BTCUSD,7296.63,7297,7270.12,7270.52,166.75,1215124.31
1528635600.0,2018-06-10 01-PM,BTCUSD,7246.82,7308.78,7216.3,7296.63,373.0,2708310.74
1528632000.0,2018-06-10 12-PM,BTCUSD,7246.09,7271.62,7244.8,7246.82,277.93,2017366.75
1528628400.0,2018-06-10 11-AM,BTCUSD,7248.54,7258.71,7241.47,7246.09,112.54,816009.8
1528624800.0,2018-06-10 10-AM,BTCUSD,7244.36,7250.84,7228.51,7248.54,161.81,1170953.46
1528621200.0,2018-06-10 09-AM,BTCUSD,7228.56,7256.53,7226.14,7244.36,296.59,2147127.87
1528617600.0,2018-06-10 08-AM,BTCUSD,7215.1,7251.42,7215.1,7228.56,367.39,2653890.81
1528614000.0,2018-06-10 07-AM,BTCUSD,7330.43,7330.43,7215.1,7215.1,614.8,4469040.72
1528610400.0,2018-06-10 06-AM,BTCUSD,7318.41,7331.91,7309,7330.43,142.78,1045059.05
1528606800.0,2018-06-10 05-AM,BTCUSD,7308.19,7330.78,7304.7,7318.41,258.8,1893942.06
1528603200.0,2018-06-10 04-AM,BTCUSD,7300.06,7328.42,7300.06,7308.19,153.8,1126037.56
1528599600.0,2018-06-10 03-AM,BTCUSD,7326.91,7331.93,7300.06,7300.06,171.13,1250752.1
1528596000.0,2018-06-10 02-AM,BTCUSD,7337.72,7347.35,7304.74,7326.91,118.05,864393.89
1528592400.0,2018-06-10 01-AM,BTCUSD,7300.06,7366.9,7300.06,7337.72,367.3,2692404.39
1528588800.0,2018-06-10 12-AM,BTCUSD,7496.81,7499.01,7300.06,7300.06,535.85,3971195.49
1528585200.0,2018-06-09 11-PM,BTCUSD,7607.54,7614.15,7472.82,7496.81,569.85,4288358.55
1528581600.0,2018-06-09 10-PM,BTCUSD,7622.78,7625.23,7589.43,7607.54,405.32,3082927.57
1528578000.0,2018-06-09 09-PM,BTCUSD,7631.01,7632.39,7616.19,7622.78,208.84,1592120.15
1528574400.0,2018-06-09 08-PM,BTCUSD,7615.75,7634.65,7614.06,7631.01,260.7,1987968.43
1528570800.0,2018-06-09 07-PM,BTCUSD,7610.43,7623.75,7608.08,7615.75,188.91,1438862.82
1528567200.0,2018-06-09 06-PM,BTCUSD,7601.8,7611.62,7593.71,7610.43,84.17,639718.93
1528563600.0,2018-06-09 05-PM,BTCUSD,7594.68,7605.74,7578,7601.8,236.11,1792776.34
1528560000.0,2018-06-09 04-PM,BTCUSD,7624.65,7626.32,7584.16,7594.68,125.67,956770.19
1528556400.0,2018-06-09 03-PM,BTCUSD,7594.68,7635.43,7594.68,7624.65,283.77,2161302.91
1528552800.0,2018-06-09 02-PM,BTCUSD,7603.35,7614.33,7591,7594.68,244.31,1858383.82
1528549200.0,2018-06-09 01-PM,BTCUSD,7612.58,7621.42,7582.42,7603.35,710.86,5408008.57
1528545600.0,2018-06-09 12-PM,BTCUSD,7647.7,7651.14,7600,7612.58,615.49,4698659.42
1528542000.0,2018-06-09 11-AM,BTCUSD,7658.35,7658.35,7647.7,7647.7,185.18,1417466.69
1528538400.0,2018-06-09 10-AM,BTCUSD,7647.99,7664.84,7647.99,7658.35,351.53,2691733.84
1528534800.0,2018-06-09 09-AM,BTCUSD,7637.16,7653.11,7636,7647.99,335.13,2562789.53
1528531200.0,2018-06-09 08-AM,BTCUSD,7660.12,7660.53,7636.65,7637.16,408.14,3122027.22
1528527600.0,2018-06-09 07-AM,BTCUSD,7671.98,7673.7,7657.84,7660.12,236.17,1810274.42
1528524000.0,2018-06-09 06-AM,BTCUSD,7665.51,7675.27,7662.1,7671.98,160.45,1230766.22
1528520400.0,2018-06-09 05-AM,BTCUSD,7662.88,7669.57,7658.51,7665.51,148.51,1138354.95
1528516800.0,2018-06-09 04-AM,BTCUSD,7670.86,7676.79,7662.27,7662.88,204.59,1569414.62
1528513200.0,2018-06-09 03-AM,BTCUSD,7675.62,7678.82,7662.5,7670.86,197.04,1511558.9
1528509600.0,2018-06-09 02-AM,BTCUSD,7654.28,7679.81,7651.58,7675.62,585.07,4487655.22
1528506000.0,2018-06-09 01-AM,BTCUSD,7639.67,7654.28,7629.2,7654.28,219.99,1681343.8
1528502400.0,2018-06-09 12-AM,BTCUSD,7620.77,7646.6,7614.61,7639.67,322.66,2462862.14
